"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Details
310,1.740604,310,0.960018,389159.41885341494," Jérémie Werner,  Gizem Nogay,  Florent Sahli,  Terry Chien-Jen Yang,  Matthias Bräuninger,  Gabriel Christmann,  Arnaud Walter,  Brett A. Kamino,  Peter Fiala,  Philipp Löper,  Sylvain Nicolay,  Quentin Jeangros,  Bjoern Niesen and  Christophe Ballif, 'Complex Refractive Indices of Cesium–Formamidinium-Based Mixed-Halide Perovskites with Optical Band Gaps from 1.5 to 1.8 eV', <i>ACS Energy Letters</i> <b>3</b>(3), pp.742-747, (2018)",Cesium-formamidinium mixed-halide perovskite with optical bandwidth of 1.67 eV.
313.9240506,1.769949,313.9240506,0.995133,398351.45044408034,,
317.9487179,1.805498,317.9487179,1.029627,406942.18117967737,,
322.0779221,1.847828,322.0779221,1.062245,414451.3931974961,,
326.3157895,1.897252,326.3157895,1.091395,420294.5275088666,,
330.6666667,1.953648,330.6666667,1.115184,423804.90259448095,,
335.1351351,2.016285,335.1351351,1.131554,424292.3359831447,,
339.7260274,2.08368,339.7260274,1.13851,421131.6606398483,,
344.4444444,2.153569,344.4444444,1.134451,413881.88840331836,,
349.2957746,2.223045,349.2957746,1.11853,402405.7416490478,,
354.2857143,2.288891,354.2857143,1.090944,386953.41274480097,,
359.4202899,2.348047,359.4202899,1.053036,368171.7759991804,,
364.7058824,2.398092,364.7058824,1.007153,347026.42524100083,,
370.1492537,2.437599,370.1492537,0.956278,324651.3031766829,,
375.7575758,2.466253,375.7575758,0.903564,302176.74450391834,,
381.5384615,2.484748,381.5384615,0.851897,280581.23904923117,,
387.5,2.49453,387.5,0.803604,260603.50170790937,,
393.6507937,2.497493,393.6507937,0.760322,242714.8170703865,,
400,2.495708,400,0.723006,227139.03381013425,,
406.557377,2.491241,406.557377,0.69201,213894.87980789223,,
413.3333333,2.486045,413.3333333,0.667189,202842.1994637054,,
420.3389831,2.48191,420.3389831,0.647971,193716.12105317783,,
427.5862069,2.480437,427.5862069,0.633395,186149.0428559011,,
435.0877193,2.482996,435.0877193,0.622099,179677.02249559277,,
442.8571429,2.490614,442.8571429,0.612282,173739.15394288796,,
450.9090909,2.503786,450.9090909,0.601705,167688.9684220156,,
459.2592593,2.522185,459.2592593,0.587803,160836.17687949716,,
467.9245283,2.544371,467.9245283,0.568027,152546.77558570288,,
476.9230769,2.567687,476.9230769,0.540444,142400.73356170885,,
486.2745098,2.588575,486.2745098,0.504451,130360.89893733722,,
496,2.603395,496,0.461252,116860.1527946451,,
506.122449,2.609478,506.122449,0.413695,102715.15720313994,,
516.6666667,2.605865,516.6666667,0.365452,88885.2633573388,,
527.6595745,2.593344,527.6595745,0.31996,76199.43114991012,,
539.1304348,2.573887,539.1304348,0.279669,65186.90239869232,,
551.1111111,2.549903,551.1111111,0.24583,56053.866922805995,,
563.6363636,2.523665,563.6363636,0.218705,48760.659579513034,,
576.744186,2.497044,576.744186,0.197928,43125.473361232675,,
590.4761905,2.471485,590.4761905,0.182846,38912.840827798245,,
604.8780488,2.448147,604.8780488,0.172741,35887.0259980745,,
620,2.428135,620,0.166922,33832.317995000994,,
635.8974359,2.412844,635.8974359,0.164661,32539.699563380418,,
652.6315789,2.404476,652.6315789,0.164738,31720.174585445595,,
670.2702703,2.40661,670.2702703,0.163865,30721.761235215065,,
688.8888889,2.422656,688.8888889,0.152125,27749.890592108073,,
708.5714286,2.441577,708.5714286,0.109057,19341.037823073304,,
729.4117647,2.419585,729.4117647,0.03979,6855.056511886714,,
751.5151515,2.356003,751.5151515,0.002666,445.7919975533794,,
775,2.300015,775,0,0,,
800,2.262498,800,0,0,,
826.6666667,2.236807,826.6666667,0,0,,
855.1724138,2.217663,855.1724138,0,0,,
885.7142857,2.20229,885.7142857,0,0,,
918.5185185,2.189268,918.5185185,0,0,,
953.8461538,2.177842,953.8461538,0,0,,
992,2.167578,992,0,0,,
1033.333333,2.158212,1033.333333,0,0,,
1078.26087,2.149572,1078.26087,0,0,,
1127.272727,2.14154,1127.272727,0,0,,
1180.952381,2.134028,1180.952381,0,0,,
1240,2.126973,1240,0,0,,
1305.263158,2.120322,1305.263158,0,0,,
1377.777778,2.114035,1377.777778,0,0,,
1458.823529,2.108077,1458.823529,0,0,,
1550,2.102419,1550,0,0,,
1653.333333,2.097036,1653.333333,0,0,,
1771.428571,2.091907,1771.428571,0,0,,
1907.692308,2.087011,1907.692308,0,0,,
2066.666667,2.082334,2066.666667,0,0,,