"λ,n (nm)",n,"λ,k (nm)",k,α (cm⁻¹),Reference,Reference text,Details
350.0237,1.614679,350.0237,0.288449,103557.4744607662,"Miha Filipič, Philipp Löper, Bjoern Niesen, Stefaan De Wolf, Janez Krč, Christophe Ballif and Marko Topič, 'CH_3NH_3PbI_3 perovskite / silicon tandem solar cells: characterization based optical simulations', <i>Optics Express</i> <b>23</b>, pp.A263, (2015)","Miha Filipič, Philipp Löper, Bjoern Niesen, Stefaan De Wolf, Janez Krč, Christophe Ballif and Marko Topič, 'CH_3NH_3PbI_3 perovskite / silicon tandem solar cells: characterization based optical simulations', <i>Optics Express</i> <b>23</b>, pp.A263, (2015)","(2,2',7,7'-tetrakis(N,N-di-p-methoxyphenylamine)-9,9-spirobifluorene) was purchased from Merck KGaA"
360.0244,1.650289,360.0244,0.328615,114700.50028380407,,,
370.025,1.707532,370.025,0.352452,119695.7626044759,,,
380.0257,1.77959,380.0257,0.349067,115426.5432901647,,,
390.0264,1.852604,390.0264,0.310192,99941.63558182986,,,
400.027,1.906039,400.027,0.235438,73960.03681510237,,,
410.0277,1.917848,410.0277,0.139594,42782.23006740409,,,
420.0284,1.880259,420.0284,0.055141,16497.033106484687,,,
430.0291,1.816163,430.0291,0.012293,3592.2776845175663,,,
440.0298,1.761852,440.0298,0.009268,2646.755352793852,,,
450.0304,1.73207,450.0304,0.021475,5996.546209841896,,,
460.0311,1.719841,460.0311,0.031261,8539.364225059611,,,
470.0318,1.714902,470.0318,0.034394,9195.287444599908,,,
480.0325,1.711418,480.0325,0.032619,8539.05606536603,,,
490.0331,1.707279,490.0331,0.028447,7294.926503264277,,,
500.0338,1.702165,500.0338,0.023627,5937.71138081994,,,
510.0345,1.696369,510.0345,0.019098,4705.417888261118,,,
520.0352,1.690289,520.0352,0.015254,3686.0469705018972,,,
530.0359,1.684253,530.0359,0.01219,2890.0694799925504,,,
540.0365,1.67848,540.0365,0.009852,2292.5095487558074,,,
550.0372,1.673095,550.0372,0.008134,1858.3262836985848,,,
560.0379,1.668156,560.0379,0.006915,1551.6173601517626,,,
570.0386,1.663675,570.0386,0.006084,1341.2038907147905,,,
580.0393,1.659637,580.0393,0.005548,1201.9569047901527,,,
590.0399,1.656012,590.0399,0.005232,1114.2848314889754,,,
600.0406,1.652762,600.0406,0.005078,1063.4618720752544,,,
610.0413,1.649849,610.0413,0.005039,1037.994337854763,,,
620.0419,1.647235,620.0419,0.005083,1030.1700874213127,,,
630.0426,1.644885,630.0426,0.005185,1034.162319110681,,,
640.0433,1.642766,640.0433,0.005326,1045.6869073088797,,,
650.0439,1.640848,650.0439,0.005493,1061.8832633407517,,,
660.0446,1.639106,660.0446,0.005677,1080.825234805603,,,
670.0453,1.637518,670.0453,0.00587,1100.8896787469198,,,
680.046,1.636064,680.046,0.006068,1121.2879259334143,,,
690.0466,1.634726,690.0466,0.006268,1141.4593016008382,,,
700.0474,1.63349,700.0474,0.006469,1161.233532247809,,,
710.048,1.632342,710.048,0.006668,1180.0971097242293,,,
720.0487,1.631271,720.0487,0.006866,1198.2620153079934,,,
730.0494,1.630266,730.0494,0.007063,1215.757120671818,,,
740.0501,1.629319,740.0501,0.007257,1232.2699712952478,,,
750.0507,1.628422,750.0507,0.007452,1248.5101849542245,,,
760.0514,1.627568,760.0514,0.007645,1263.992189827897,,,
770.0521,1.626751,770.0521,0.007839,1279.2352523415177,,,
780.0528,1.625966,780.0528,0.008035,1294.4096590176453,,,
790.0534,1.625208,790.0534,0.008232,1309.359125565496,,,
800.0541,1.624473,800.0541,0.008432,1324.4058998044827,,,
810.0548,1.623757,810.0548,0.008635,1339.5465375304418,,,
820.0554,1.623056,820.0554,0.008844,1355.2374841186645,,,
830.0562,1.622369,830.0562,0.009057,1371.1555754206888,,,
840.0568,1.621691,840.0568,0.009277,1387.742116835553,,,
850.0575,1.62102,850.0575,0.009505,1405.1208617003429,,,
860.0582,1.620354,860.0582,0.00974,1423.118223672053,,,
870.0588,1.619692,870.0588,0.009985,1442.1463306201417,,,
880.0595,1.61903,880.0595,0.010239,1462.0269279568436,,,
890.0602,1.618369,890.0602,0.010505,1483.1549967501426,,,
900.0609,1.617705,900.0609,0.010783,1505.4889545211324,,,
910.0616,1.617037,910.0616,0.011073,1528.9890465963963,,,
920.0622,1.616365,920.0622,0.011378,1554.0271608830215,,,
930.0629,1.615686,930.0629,0.011698,1580.5533523245965,,,
940.0636,1.615001,940.0636,0.012034,1608.6539673826144,,,
950.0643,1.614307,950.0643,0.012388,1638.5438245672576,,,
960.0649,1.613604,960.0649,0.01276,1670.1671838979119,,,
970.0656,1.61289,970.0656,0.013153,1703.8587152318996,,,
980.0663,1.612166,980.0663,0.013566,1739.427054622698,,,
990.0669,1.61143,990.0669,0.014002,1777.1962818094123,,,
1000.0676,1.610682,1000.0676,0.014462,1817.2256737930752,,,
1010.0683,1.60992,1010.0683,0.014948,1859.6970912109698,,,
1020.069,1.609146,1020.069,0.015462,1904.785092373374,,,
1030.0697,1.608357,1030.0697,0.016004,1952.413465925696,,,
1040.0703,1.607553,1040.0703,0.016577,2002.8715912206321,,,
1050.071,1.606735,1050.071,0.017184,2056.4372565012086,,,
1060.0717,1.605902,1060.0717,0.017825,2113.022696492627,,,
1070.0724,1.605054,1070.0724,0.018503,2172.8955487263083,,,
1080.073,1.604191,1080.073,0.01922,2236.1973978423985,,,
1090.0737,1.603313,1090.0737,0.019979,2303.1793034203283,,,
1100.0743,1.60242,1100.0743,0.020783,2374.0840094003347,,,
1110.0751,1.601513,1110.0751,0.021633,2448.9180551877257,,,
1120.0758,1.600591,1120.0758,0.022534,2528.137786960218,,,
1130.0765,1.599657,1130.0765,0.023487,2611.7377595185276,,,
1140.0771,1.59871,1140.0771,0.024497,2700.154059229474,,,
1150.0778,1.597752,1150.0778,0.025566,2793.479111819275,,,
1160.0785,1.596784,1160.0785,0.026699,2892.1278088747918,,,
1170.0791,1.595808,1170.0791,0.027898,2996.1786976572116,,,
1180.08,1.594826,1180.08,0.029168,3106.025846380147,,,
1190.0804,1.59384,1190.0804,0.030513,3221.947580650361,,,
1200.0812,1.592853,1200.0812,0.031937,3344.2085278128584,,,